"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 06 11:46:46 ICT 2024","Tue Aug 06 11:46:48 ICT 2024","2055","tests","test_login","TestLogin","","","test_homepage_management",""
"passed","Tue Aug 06 11:46:44 ICT 2024","Tue Aug 06 11:46:46 ICT 2024","1679","tests","test_login","TestLogin","","","test_login",""
